commodityCode,countryCode,weeklyExports,accumulatedExports,outstandingSales,grossNewSales,currentMYNetSales,currentMYTotalCommitment,nextMYOutstandingSales,nextMYNetSales,unitId,weekEndingDate,Year
1301,7740,0,0,0,0,0,0,0,0,2,2024-09-12T00:00:00,2024
1301,2,0,0,0,0,0,0,0,0,2,2024-09-12T00:00:00,2024
1301,2010,87,87,0,0,0,87,0,0,2,2024-09-19T00:00:00,2024
1301,2050,176,264,615,0,0,879,0,0,2,2024-09-19T00:00:00,2024
1301,2110,0,0,0,0,0,0,0,0,2,2024-09-19T00:00:00,2024
1301,2150,0,0,0,0,0,0,0,0,2,2024-09-19T00:00:00,2024
1301,3010,0,174,391,0,0,565,0,0,2,2024-09-19T00:00:00,2024
1301,3330,1047,4819,12144,0,0,16963,0,0,2,2024-09-19T00:00:00,2024
1301,3510,0,440,440,0,0,880,0,0,2,2024-09-19T00:00:00,2024
1301,4120,0,0,0,0,0,0,0,0,2,2024-09-19T00:00:00,2024
1301,4280,0,440,440,0,0,880,0,0,2,2024-09-19T00:00:00,2024
1301,4330,0,0,0,0,0,0,0,0,2,2024-09-19T00:00:00,2024
1301,4351,0,0,0,0,0,0,0,0,2,2024-09-19T00:00:00,2024
1301,4410,0,0,0,0,0,0,0,0,2,2024-09-19T00:00:00,2024
1301,4750,0,1337,4074,0,0,5411,0,0,2,2024-09-19T00:00:00,2024
1301,4792,0,176,0,0,0,176,0,0,2,2024-09-19T00:00:00,2024
1301,4840,0,0,0,0,0,0,0,0,2,2024-09-19T00:00:00,2024
1301,4890,261,609,608,174,174,1217,0,0,2,2024-09-19T00:00:00,2024
1301,5200,0,0,430,0,0,430,0,0,2,2024-09-19T00:00:00,2024
1301,5250,0,0,441,0,0,441,0,0,2,2024-09-19T00:00:00,2024
1301,5330,5041,20451,48268,6280,4707,68719,0,0,2,2024-09-19T00:00:00,2024
1301,5350,264,3306,6957,1760,1760,10263,0,0,2,2024-09-19T00:00:00,2024
1301,5380,0,1226,2927,0,0,4153,0,0,2,2024-09-19T00:00:00,2024
1301,5490,0,694,1825,1135,1135,2519,0,0,2,2024-09-19T00:00:00,2024
1301,5520,0,8568,3479,0,0,12047,0,0,2,2024-09-19T00:00:00,2024
1301,5570,0,86,176,176,176,262,0,0,2,2024-09-19T00:00:00,2024
1301,5600,175,788,1,176,0,789,0,0,2,2024-09-19T00:00:00,2024
1301,5700,0,6655,7995,2638,2638,14650,0,0,2,2024-09-19T00:00:00,2024
1301,5800,0,172,345,0,0,517,0,0,2,2024-09-19T00:00:00,2024
1301,5820,0,0,590,0,0,590,0,0,2,2024-09-19T00:00:00,2024
1301,5830,0,435,0,0,0,435,0,0,2,2024-09-19T00:00:00,2024
1301,5880,0,697,1132,258,258,1829,0,0,2,2024-09-19T00:00:00,2024
1301,7290,0,0,6349,0,0,6349,0,0,2,2024-09-19T00:00:00,2024
1301,7740,0,0,0,0,0,0,0,0,2,2024-09-19T00:00:00,2024
